product_id,user_id,rating_count,kmeans_cluster
B07JW9H4J1,7918,24269.0,0
B07JW9H4J1,7878,24269.0,0
B07JW9H4J1,3737,24269.0,0
B07JW9H4J1,867,24269.0,0
B07JW9H4J1,285,24269.0,0
B07JW9H4J1,5007,24269.0,0
B07JW9H4J1,1989,24269.0,0
B07JW9H4J1,949,24269.0,0
B098NS6PVG,8920,43994.0,0
B098NS6PVG,7363,43994.0,0
B098NS6PVG,7900,43994.0,0
B098NS6PVG,6310,43994.0,0
B098NS6PVG,8533,43994.0,0
B098NS6PVG,3405,43994.0,0
B098NS6PVG,4054,43994.0,0
B098NS6PVG,5151,43994.0,0
B096MSW6CT,5381,7928.0,2
B096MSW6CT,2133,7928.0,2
B096MSW6CT,8213,7928.0,2
B096MSW6CT,1765,7928.0,2
B096MSW6CT,7764,7928.0,2
B096MSW6CT,1562,7928.0,2
B096MSW6CT,3565,7928.0,2
B096MSW6CT,4420,7928.0,2
B08HDJ86NZ,2730,94363.0,0
B08HDJ86NZ,5507,94363.0,0
B08HDJ86NZ,6834,94363.0,0
B08HDJ86NZ,186,94363.0,0
B08HDJ86NZ,3632,94363.0,0
B08HDJ86NZ,7245,94363.0,0
B08HDJ86NZ,5760,94363.0,0
B08HDJ86NZ,216,94363.0,0
B08CF3B7N1,8164,16905.0,0
B08CF3B7N1,5519,16905.0,0
B08CF3B7N1,7322,16905.0,0
B08CF3B7N1,3547,16905.0,0
B08CF3B7N1,2499,16905.0,0
B08CF3B7N1,8424,16905.0,0
B08CF3B7N1,4603,16905.0,0
B08CF3B7N1,4643,16905.0,0
B08Y1TFSP6,8336,24871.0,2
B08Y1TFSP6,5629,24871.0,2
B08Y1TFSP6,6847,24871.0,2
B08Y1TFSP6,3499,24871.0,2
B08Y1TFSP6,3753,24871.0,2
B08Y1TFSP6,3600,24871.0,2
B08Y1TFSP6,2763,24871.0,2
B08Y1TFSP6,7064,24871.0,2
B08WRWPM22,2921,15188.0,0
B08WRWPM22,105,15188.0,0
B08WRWPM22,1214,15188.0,0
B08WRWPM22,8276,15188.0,0
B08WRWPM22,2177,15188.0,0
B08WRWPM22,5177,15188.0,0
B08WRWPM22,8421,15188.0,0
B08WRWPM22,129,15188.0,0
B08DDRGWTJ,7699,30411.0,3
B08DDRGWTJ,4851,30411.0,3
B08DDRGWTJ,5480,30411.0,3
B08DDRGWTJ,1837,30411.0,3
B08DDRGWTJ,3418,30411.0,3
B08DDRGWTJ,3313,30411.0,3
B08DDRGWTJ,1321,30411.0,3
B08DDRGWTJ,674,30411.0,3
B008IFXQFU,2303,179691.0,4
B008IFXQFU,8893,179691.0,4
B008IFXQFU,7952,179691.0,4
B008IFXQFU,2384,179691.0,4
B008IFXQFU,607,179691.0,4
B008IFXQFU,7777,179691.0,4
B008IFXQFU,3072,179691.0,4
B008IFXQFU,2651,179691.0,4
B082LZGK39,8920,43994.0,3
B082LZGK39,7363,43994.0,3
B082LZGK39,7900,43994.0,3
B082LZGK39,6310,43994.0,3
B082LZGK39,8533,43994.0,3
B082LZGK39,3405,43994.0,3
B082LZGK39,4054,43994.0,3
B082LZGK39,5151,43994.0,3
B08CF3D7QR,7445,13391.0,0
